family,group,metric,n_pos,n_neg,auc,ci_lo,ci_hi,perm_p,bh_q,baseline_auc,delta_auc,delta_ci_lo,delta_ci_hi,beats_baseline,small_n,length_only_auc
Pre-registered,1. positives vs real negatives,iptm,23,36,0.607487922705314,0.46316425120772947,0.7475845410628019,0.1685831416858314,0.26973302669733024,0.7403381642512077,-0.13285024154589364,-0.3061594202898551,0.04045893719806759,False,False,0.6509661835748792
Pre-registered,1. positives vs real negatives,chain_pair_iptm,23,36,0.607487922705314,0.46316425120772947,0.7475845410628019,0.1685831416858314,0.26973302669733024,0.7403381642512077,-0.13285024154589364,-0.3061594202898551,0.04045893719806759,False,False,0.6509661835748792
Pre-registered,1. positives vs real negatives,ranking_score,23,36,0.5875603864734299,0.43719806763285024,0.7342995169082126,0.258974102589741,0.3504982835049828,0.7403381642512077,-0.1527777777777778,-0.341183574879227,0.04227053140096626,False,False,0.6509661835748792
Pre-registered,1. positives vs real negatives,ptm,23,36,0.5193236714975845,0.37016908212560384,0.6666666666666666,0.8143185681431857,0.8143185681431857,0.7403381642512077,-0.22101449275362317,-0.4323671497584541,-0.003019323671497598,False,False,0.6509661835748792
Pre-registered,1. positives vs real negatives,fraction_disordered,23,36,0.4251207729468599,0.27596618357487923,0.5797101449275363,0.3234676532346765,0.38499007242132927,0.7403381642512077,-0.3152173913043478,-0.5283816425120773,-0.08997584541062797,False,False,0.6509661835748792
Pre-registered,1. positives vs real negatives,chain_pair_pae_min,23,36,0.6884057971014492,0.5434782608695652,0.822463768115942,0.015298470152984701,0.0751924807519248,0.7403381642512077,-0.05193236714975846,-0.21980676328502413,0.11835748792270528,False,False,0.6509661835748792
Pre-registered,1. positives vs real negatives,pae_inter_mean,23,36,0.5471014492753623,0.3961352657004831,0.6920289855072463,0.5462453754624538,0.5826617338266173,0.7403381642512077,-0.19323671497584538,-0.38647342995169087,0.0024154589371979673,False,False,0.6509661835748792
Pre-registered,1. positives vs real negatives,pae_inter_p05,23,36,0.5881642512077294,0.4420289855072464,0.7318840579710145,0.2628737126287371,0.3504982835049828,0.7403381642512077,-0.15217391304347827,-0.34057971014492755,0.03743961352656999,False,False,0.6509661835748792
Pre-registered,1. positives vs real negatives,pae_inter_frac_lt10,23,36,0.6256038647342995,0.4855072463768116,0.7602657004830918,0.08849115088491151,0.20226548773694059,0.7403381642512077,-0.11473429951690817,-0.28804347826086957,0.05978260869565222,False,False,0.6509661835748792
Pre-registered,1. positives vs real negatives,pae_inter_frac_lt5,23,36,0.6304347826086957,0.4963768115942029,0.7584541062801933,0.06179382061793821,0.16478352164783522,0.7403381642512077,-0.10990338164251201,-0.2886473429951691,0.0688405797101449,False,False,0.6509661835748792
